	country	designation		points	price	province	variety		winery	
16201	Germany	Wehlener Sonnenuhr Auslese	91	42	Mosel	Riesling	Dr. Loosen	
16202	US	Quail Run	91	22	Oregon	Pinot Blanc	Erath	
16203	Argentina	Apartado	91	70	Mendoza Province	Red Blend	Felipe Rutini	
16204	Germany	Dürkheimer Spielberg Spätlese Trocken	91	24	Pfalz	Chardonnay	Fitz-Ritter	
16205	US		91	45	Oregon	Pinot Noir	Domaine Drouhin Oregon	
16206	US		91	95	California	Cabernet Sauvignon	Coup de Foudre	
16207	Italy	Amaranto 72 Riserva	91		Veneto	Red Blend	Cescon Italo Storia e Vini	
16208	Argentina	Reserva	91	90	Other	Malbec	Colomé	
16209	US	Bacchus Laureate Reserve	91	52	California	Zinfandel	Carol Shelton	
16210	US	Mr. Smith	91	56	California	Syrah	Piedrasassi	
16211	US	Profile	91	150	California	Bordeaux-style Red Blend	Merryvale	
16212	Italy	Doppiozeta	91	60	Sicily & Sardinia	Red Blend	Zisola	
16213	Germany	Muschelkalk Trocken	90	37	Pfalz	Weissburgunder	Dr. Wehrheim	
16214	US	Estate Unoaked	90	15	Oregon	Chardonnay	David Hill	
16215	US		90	23	California	Chardonnay	Expression 38	
16216	France	Dédicace	90	20	Languedoc-Roussillon	Chenin Blanc	Château Rives-Blanques	
16217	US	Longbow	90	48	California	Pinot Noir	Arista	
16218	US		90	16	Oregon	Pinot Gris	Anindor	
16219	Austria	Schiefer Reserve	90		Kremstal	Grüner Veltliner	Forstreiter	
16220	Germany	Wehlener Sonnenuhr Auslese	90	57	Mosel	Riesling	Joh. Jos. Prüm	
16221	US		90	35	California	Syrah	Broadway Vineyards	
16222	South Africa	Diesel	90		Stellenbosch	Pinotage	Beyerskloof	
16223	Italy	Mater Matuta	90	60	Central Italy	Red Blend	Casale del Giglio	
16224	US	Nicholas Estate	90	19	Oregon	Riesling	Anam Cara	
16225	Germany	Dhroner Hofberger Auslese ***	90	24	Mosel	Riesling	Bollig-Lehnert	
16226	US	The Orchards	90	18	Oregon	Pinot Gris	Left Coast Cellars	
16227	US	Momtazi Vineyard	90	35	Oregon	Pinot Noir	Libra	
16228	France	Foehn	90	24	Southwest France	White Blend	Lionel Osmin & Cie	
16229	US	Nielson Vineyard	90	35	California	Chardonnay	Ken Brown	
16230	US	Grand Estates	88	11	Washington	Merlot	Columbia Crest	
16231	Argentina	Altosur	88	11	Mendoza Province	Malbec	Finca Sophenia	
16232	Argentina	Luigi Bosca Reserva	88	18	Mendoza Province	Cabernet Sauvignon	Luigi Bosca	
16233	US		88	21	California	Pinot Grigio	Swanson	
16234	Austria	Kreimelberg	88	21	Niederösterreich	Roter Veltliner	Setzer	
16235	Italy		88	16	Southern Italy	Aglianico	Vigne di Mezzo	
16236	Italy	Schiaccianoci Riserva	88	18	Southern Italy	Negroamaro	Vigne & Vini	
16237	US	Dr. Wolfe's Family Red	88	15	Washington	Red Blend	Thurston Wolfe	
16238	US	Lot 4 Selection	88	38	California	Pinot Noir	Moshin	
16239	Italy	Cala Silente	88	16	Sicily & Sardinia	Vermentino	Cantina Santadi	
16240	US		88	35	California	Cabernet Sauvignon	Fritz	
16241	France	Clos St-Jean Premier Cru	88	50	Burgundy	Chardonnay	Henri de Villamont	
16242	US		88	20	Washington	Chardonnay	Dusted Valley	
16243	US	Horse Heaven Vineyard	88	15	Washington	Sauvignon Blanc	Chateau Ste. Michelle	
16244	France	Domaine des Deux Roches Les Cras	88	36	Burgundy	Chardonnay	Collovray et Terrier	
16245	US	Chamisal Vineyards	88	24	California	Chardonnay	Domaine Alfred	
16246	Spain	Prios Maximus Crianza	88	26	Northern Spain	Tempranillo	Bodegas de los Rios Prieto	
16247	Austria	Eiswein	88	45	Neusiedlersee-Hügelland	Grüner Veltliner	Höpler	
16248	US	Winemaker's Blend	88	10	Washington	Red Blend	Maryhill	
16249	Italy	Torcicoda	88	20	Southern Italy	Primitivo	Tormaresca	
16250	Australia	Vat 47	88	40	New South Wales	Chardonnay	Tyrrell's	
16251	Spain		88	11	Northern Spain	Cabernet Sauvignon-Tempranillo	Vega Sindoa	
16252	US		88	14	Washington	Sauvignon Blanc	Waterbrook	
16253	Austria	Ried Eichholz	88		Weinviertel	Grüner Veltliner	Setzer	
16254	US	Klipsun Vineyard	88	30	Washington	Cabernet Sauvignon	Seven Hills	
16255	France	Premier Cru	88	29	Burgundy	Chardonnay	Joseph Drouhin	
16256	US		88	15	California	Sauvignon Blanc	Brander	
16257	Spain	Carchelo	88	11	Levante	Monastrell	Bodegas Agapito Rico	
16258	Italy	Villa di Chiesa	88	35	Sicily & Sardinia	White Blend	Cantina Santadi	
16259	Argentina	Edicion Limitada	88	45	Mendoza Province	Malbec	Enrique Foster	
16260	US	Vintner's Reserve	85	16	California	Merlot	Kendall-Jackson	
16261	US	Reserve	85	16	California	Pinot Noir	ForestVille	
16262	Argentina		85	12	Mendoza Province	Chardonnay	Terrazas de Los Andes	
16263	US	Bolero	85	20	California	Syrah	Zealear	
16264	US		85	24	California	Pinot Noir	Castle	
16265	US		85	19	California	Pinot Noir	Chateau St. Jean	
16266	Germany	Ürziger Würzgarten Spätlese	85	19	Mosel-Saar-Ruwer	Riesling	Carl Graff	
16267	Germany	Ürziger Würzgarten Spätlese	85	28	Mosel-Saar-Ruwer	Riesling	Dr. Loosen	
16268	US		85	12	California	Pinot Noir	Blackstone	
16269	US		85	24	California	Chardonnay	Frog's Leap	
16270	US	Viento Vineyard	85	14	California	Gewürztraminer	Storrs	
16271	Australia		85	15	Victoria	Chardonnay	Yarra Burn	
16272	US	Reprise	85	40	California	Cabernet Sauvignon	Zealear	
16273	US		85	15	California	Sauvignon Blanc	Bernardus	
16274	Austria	Classic	85		Südsteiermark	Gelber Muskateller	Adolf & Heinrich Fuchs	
16275	US	Quail Cuvee	85	30	California	Chardonnay	Lynmar	
16276	Germany	Estate QbA	85	19	Pfalz	Riesling	Dr. Bürklin-Wolf	
16277	US		85	19	California	Merlot	Elaine Maria	
16278	US	D'Adventure	85	25	California	Rhône-style Red Blend	Elyse	
16279	US		85	31	California	Cabernet Sauvignon	Godspeed	
16280	US	Rancho Santa Rosa	85	38	California	Pinot Noir	Foley	
16281	US		85	25	California	Cabernet Sauvignon	Courtney Benham	
16282	Australia		85	9	Victoria	Chardonnay	Deakin Estate	
16283	Australia		85	10	Australia Other	Chardonnay	Black Opal	
16284	US		85	12	California	Chardonnay	Clos du Bois	
16285	US	Estate	85	26	California	Chardonnay	Monticello Vineyards	
16286	US		85	15	California	Zinfandel	Valley of the Moon	
16287	US	Rhapsody Meritage	85	45	California	Meritage	Opolo	
16288	US	Heritage Reserve	85	30	California	Merlot	Schug	
16289	Australia		85	10	Victoria	Shiraz	Paiko	
16290	Austria		87	19	Wagram-Donauland	Weissburgunder	Josef Ehmoser	
16291	Italy	Vigna Ribote	87	23	Piedmont	Dolcetto	Bruno Porro	
16292	US		87	16	California	Syrah	Bishop's Peak	
16293	Austria	Smaragd Steinwand	87	20	Wachau	Grüner Veltliner	Machherndl	
16294	US		87	14	California	Pinot Grigio	Maddalena	
16295	Italy	Vigna Ròca Neira	87	28	Piedmont	Barbera	Tenuta Rocca	
16296	US	Castello	87	30	California	Chardonnay	Testarossa	
16297	France	Blason Brut Rosé	87	80	Champagne	Champagne Blend	Perrier Jouët	
16298	Italy	Torriglione	87	17	Piedmont	Barbera	Renato Ratti	
16299	US	Amador Ice	87	35	California	White Blend	Renwood	
16300	Italy	Costa Grimaldi	87	89	Piedmont	Nebbiolo	Poderi Luigi Einaudi	
16301	Austria	Kremser Wachtberg	87	22	Kremstal	Grüner Veltliner	Winzer Krems	
16302	US		87	30	Washington	Cabernet Sauvignon	Zerba Cellars	
16303	Austria	Rohrendorfer Gebling	87	19	Kremstal	Riesling	Felsner	
16304	France	Tsarine Grand Cru Blanc de Blancs	87	75	Champagne	Chardonnay	Chanoine	
16305	US	The Duke	87	26	Washington	Red Blend	Des Voigne	
16306	US		87	22	Washington	Merlot	Airfield Estates	
16307	Italy	Le Mie Donne	87	24	Piedmont	Barbera	Cascina Adelaide	
16308	Austria	Hochrain Old Vines	87	20	Wachau	Pinot Blanc	Machherndl	
16309	Italy		87	17	Piedmont	Chardonnay	Il Falchetto	
16310	Italy		87	28	Piedmont	Nebbiolo	La Fiammenga	
16311	US	Vintage Brut	87	50	California	Sparkling Blend	J Vineyards & Winery	
16312	US	Amore	87	20	California	Pinot Grigio	Pietra Santa	
16313	Argentina	Reserva	87	15	Mendoza Province	Bonarda	Sur de los Andes	
16314	US	Quaglia Vineyard	87	33	California	Zinfandel	V. Sattui	
16315	US	The Villain	87	29	California	Red Blend	Vixen	
16316	New Zealand		87	18	Marlborough	Pinot Gris	Omaka Springs	
16317	US	Michael's Vineyard	87	28	California	Sauvignon Blanc	Six Sigma Ranch	
16318	US	Reserve	87	24	California	Merlot	Raymond	
16319	US		87	15	California	Merlot	Ray's Station Vineyards	
16320	South Africa	Ansela Van de Caab	90	35	Simonsberg-Stellenbosch	Red Blend	Muratie	
16321	US	Peach Tree Block	90	60	Oregon	Pinot Noir	Sokol Blosser	
16322	Austria	Tagelsteiner	90		Thermenregion	Rotgipfler	Stadlmann	
16323	US	Terra Alta Vineyard Le Blanc	90	24	California	Rhône-style White Blend	Standing Sun	
16324	US	Freedom Hill Vineyard	90	40	Oregon	Pinot Noir	Panther Creek	
16325	Germany	Trabener Würzgarten Beerenauslese 375 ml	90	49	Mosel	Riesling	Max Wagner	
16326	Germany	Bruderberg Jungfernwein Auslese	90	82	Mosel	Riesling	Maximin Grünhäuser	
16327	South Africa	Minotaur	90	65	Wellington	Red Blend	Doolhof	
16328	Germany	Bernkasteler Doctor Auslese	90		Mosel	Riesling	Dr. H. Thanisch (Erben Thanisch)	
16329	US	Oso Vineyard	90	50	California	Cabernet Sauvignon	Emblem	
16330	US	Prince Hill Pommard	90	50	Oregon	Pinot Noir	Erath	
16331	Italy	Harmonium	90		Sicily & Sardinia	Nero d'Avola	Firriato	
16332	US	Revelator	90	26	California	Bordeaux-style Red Blend	Folkway	
16333	South Africa	Quartz Stone	90	45	Paarl	Chardonnay	Glen Carlou	
16334	Germany	Niersteiner Auflangen Spätlese	90	12	Rheinhessen	Riesling	Gustav Adolf Schmitt	
16335	France	Renaissance	90	21	Southwest France	Malbec	Château de Gaudou	
16336	Argentina		90	22	Mendoza Province	Malbec	Bodega Catena Zapata	
16337	US	Fe Ciega Vineyard	90	48	California	Pinot Noir	Longoria	
16338	US	Thomson Vineyard	90	24	California	Pinot Noir	Hocus Pocus	
16339	US		90	25	California	Chardonnay	Isabel Mondavi	
16340	Germany	Wehlener Sonnenuhr Spätlese	90		Mosel	Riesling	Joh. Jos. Prüm	
16341	Italy	Castello di Semivicoli	90	45	Central Italy	Trebbiano	Masciarelli	
16342	Italy	Radici	90	30	Southern Italy	Fiano	Mastroberardino	
16343	US	La Croce	90	66	California	Rhône-style Red Blend	Stolpman	
16344	US	Hawk Hill Vineyard	90	46	California	Pinot Noir	Talisman	
16345	US	Louis Mel	90	15	California	Sauvignon Blanc	Wente	
16346	US	Founders' Reserve	90	35	Oregon	Pinot Noir	Willamette Valley Vineyards	
16347	Argentina	Morena	90	30	Mendoza Province	Cabernet Blend	Viña Alicia	
16348	France	Proprietor's Reserve	90	24	Languedoc-Roussillon	Red Blend	O'Vineyards	
16349	US	Zena Crown Vineyard	90	40	Oregon	Pinot Noir	Soléna	
16350	Spain	Crianza	88	15	Northern Spain	Tempranillo-Cabernet Sauvignon	Marco Real	
16351	US		88	11	Washington	Riesling	Hogue	
16352	Austria		88		Burgenland	Pinot Blanc	Höpler	
16353	Spain	Dido	88	30	Catalonia	Red Blend	La Universal	
16354	South Africa	Dry	88	11	Paarl	Chenin Blanc	Landskroon	
16355	France	Classique	88	11	Provence	Rosé	Les Quatre Tours	
16356	Italy	Tazzelenghe	88	24	Northeastern Italy	Red Blend	Jacùss	
16357	US	Annabella	88	17	California	Cabernet Sauvignon	Michael Pozzan	
16358	US	Small Lot Blend	88	11	California	Chardonnay	Parducci	
16359	Spain	Vendimia Seleccionada	88	12	Northern Spain	Verdejo	Prado Rey	
16360	US	Windsor Oaks Vineyard	88	30	California	Chardonnay	Stark	
16361	Spain	Crianza	88	19	Northern Spain	Tempranillo	Valdecampaña	
16362	US	Reserve	88	22	Washington	Malbec	Waterbrook	
16363	US		88	30	California	Merlot	Wattle Creek	
16364	US		88	50	Washington	Cabernet Franc	Woodinville Wine Cellars	
16365	US	Svelte	88	65	Washington	Bordeaux-style Red Blend	Three Rivers	
16366	Italy	Egg Leiten	88		Northeastern Italy	Pinot Grigio	St. Pauls	
16367	US		88	35	Washington	Merlot	Sinclair Estate Vineyards	
16368	Italy	Terre Rare Riserva	88		Sicily & Sardinia	Carignano	Sella & Mosca	
16369	South Africa	Original Unwooded	88	15	Coastal Region	Chenin Blanc	Raats Family	
16370	Italy		88	20	Northeastern Italy	Pinot Nero	Abbazia di Novacella	
16371	Italy	Beta Delta	88	25	Northeastern Italy	Red Blend	Alois Lageder	
16372	France	Cuvée Jean	88	39	Rhône Valley	Rhône-style Red Blend	Andrieux & Fils	
16373	US		88	22	California	Chardonnay	Bernardus	
16374	US	Precocious	88	60	California	Pinot Noir	Babcock	
16375	US	Star	88	27	Washington	Red Blend	Baer	
16376	Italy	Alta Luna Phases	88	13	Northeastern Italy	Red Blend	Cavit	
16377	US		88	30	California	Chardonnay	Center of Effort	
16378	France	La Caprice de Clémentine	88		Provence	Rosé	Château les Valentines	
16379	Spain	Señorío del Águila Gran Reserva	88	22	Northern Spain	Red Blend	Bodegas Virgen del Águila	
16380	US	BFM	88	32	Washington	Bordeaux-style Red Blend	Dusted Valley	
16381	US	Grand Estates	88	11	Washington	Chardonnay	Columbia Crest	
16382	US	Special Reserve	88	34	California	Zinfandel	Herzog	
16383	Australia	The Scallywag Unwooded	88	16	South Australia	Chardonnay	Hugh Hamilton	
16384	Spain	Brut Exclusive Reserva	88	13	Catalonia	Sparkling Blend	Marqués de Gelida	
16385	US		88	19	Washington	Viognier	Di Stefano	
16386	US	CMS	88	13	Washington	Red Blend	Hedges	
16387	Italy	Cesco di Nece	88	23	Southern Italy	Aglianico	Mustilli	
16388	US		88	12	Washington	Riesling	Seven Hills	
16389	US	Burgess Vineyard	88	25	Washington	Syrah	Thurston Wolfe	
16390	US		88	13	Washington	Chardonnay	Waterbrook	
16391	Austria	Kapuzinerberg	88	18	Kremstal	Riesling	Zimmermann	
16392	Spain	Seleccion Old Vines	88	9	Northern Spain	Garnacha	Mirone	
16393	US	Abbinare	88	27	Washington	Bordeaux-style Red Blend	:Nota Bene	
16394	US	Reserve	88	30	California	Zinfandel	Rodney Strong	
16395	Argentina	Reserve Organic	88	15	Mendoza Province	Malbec	Caligiore	
16396	Italy	Vendemmia Tardiva	88	48	Sicily & Sardinia	Vermentino	Capichera	
16397	US	Grand Estates	88	11	Washington	Shiraz	Columbia Crest	
16398	Argentina		88	25	Mendoza Province	Cabernet Sauvignon	Aleph	
16399	Hungary	Capella Cuvée	88	90	Villány	Cabernet Sauvignon-Cabernet Franc	Bock	
16400	Spain		88	8	Levante	Red Blend	Bodegas Luzón	
16401	Australia	The Rascal	88	24	South Australia	Shiraz	Hugh Hamilton	
16402	US		88	20	Washington	Syrah	Waterbrook	
16403	US		88	32	California	Pinot Noir	Siduri	
16404	Spain	Mas La Plana	88	50	Catalonia	Cabernet Sauvignon	Torres	
16405	US		88	8	Washington	White Riesling	Barnard Griffin	
16406	Italy	Calcara Vecchia	88	28	Southern Italy	Red Blend	Alberto Longo	
16407	Austria	Vom Gelben Löss	88	22	Donauland	Riesling	Josef Ehmoser	
16408	France	La Doucejoie	88	40	Rhône Valley	Muscat	Brotte	
16409	France	Fourchaume Premier Cru	88		Burgundy	Chardonnay	Domaine de Vrignaud	
16410	US	Red Wine	85	10	California	Red Blend	Mixed Bag	
16411	US	Reserve	84	18	California	Syrah	Castoro Cellars	
16412	Germany	Hochheimer Kirchenstuck Spätlese Trocken	84	29	Rheingau	Riesling	Domdechant Werner	
16413	US		84	32	California	Merlot	Falcor	
16414	Australia		84	9	Victoria	Shiraz	Deakin Estate	
16415	US	Rhodes Vineyard	84	30	California	Zinfandel	Consilience	
16416	US	Bien Nacido Vineyard	84	25	California	Chardonnay	Arcadian	
16417	Austria		84	16	Südsteiermark	Chardonnay	Adolf & Heinrich Fuchs	
16418	Australia		84	6	Australia Other	Shiraz	Ironwood	
16419	US	Gravelstone	84	11	California	Chardonnay	Jekel	
16420	US		84	20	California	Roussanne	Opolo	
16421	US		84	20	California	Pinot Noir	Schug	
16422	Australia	Warburn	84	10	New South Wales	Shiraz	Riverina Estates	
16423	Australia	Triple Crown	84	20	South Australia	Red Blend	Punters Corner	
16424	US		84	16	California	Chardonnay	Wellington	
16425	Germany	Ockfen Bockstein	84	33	Mosel-Saar-Ruwer	Riesling	Von Othegraven	
16426	US	Great Oaks Ranch	84	25	California	Syrah	Domaine Santa Barbara	
16427	Germany	Ruppertsberger Gaisböhl Trocken	84	50	Pfalz	Riesling	Dr. Bürklin-Wolf	
16428	Germany	Berncasteler Doctor Kabinett	84	47	Mosel-Saar-Ruwer	Riesling	Dr. H. Thanisch (Erben Thanisch)	
16429	US		84	19	California	Chardonnay	Geyser Peak	
16430	US	Rancho Santa Rosa	84	30	California	Syrah	Foley	
16431	Germany	Ürziger Würzgarten Auslese	84	22	Mosel-Saar-Ruwer	Riesling	Carl Graff	
16432	US	Block 42	84	29	California	Cabernet Franc	Bourassa Vineyards	
16433	US		84	22	California	Chardonnay	Lynmar	
16434	Australia		84	17	South Australia	Chardonnay	Katnook Estate	
16435	US	Syrahtica	84	14	California	Red Blend	X	
16436	Australia		84	15	Victoria	Cabernet Sauvignon	Sticks	
16437	Australia		84	15	South Australia	Chenin Blanc	Temple Bruer	
16438	US		84	37	California	Cabernet Sauvignon	Vache	
16439	US		84	16	California	Chardonnay	Wild Horse	
16440	US	Garys' Vineyard	87	50	California	Pinot Noir	Roar	
16441	US	Classic Vintage Brut	87	31	California	Sparkling Blend	Iron Horse	
16442	US	Brut Rosé	87	35	California	Sparkling Blend	J Vineyards & Winery	
16443	US	Baldoochi Old Vine	87	36	California	Zinfandel	Ledson	
16444	France	Brut Rosé	87	60	Champagne	Champagne Blend	G. H. Mumm	
16445	US		87	20	Washington	Cabernet-Syrah	Latah Creek	
16446	US		87	18	Washington	Syrah	Naches Heights	
16447	US	Chateau La Paws Côte du Bone Roan	87	14	California	Red Blend	Rosenblum	
16448	Austria	Kellermeister Privat Eiswein	87	35	Niederösterreich	Riesling	Winzer Krems	
16449	US	V Cuvée	87	32	California	Rhône-style White Blend	Vixen	
16450	US	Blanc de Blancs	87	26	California	Sparkling Blend	Mumm Napa	
16451	Austria	Felser Weinberge	87	18	Wagram-Donauland	Riesling	Leth	
16452	Italy		87	61	Piedmont	Nebbiolo	Pio Cesare	
16453	Italy	Bricco dei Merli	87	26	Piedmont	Barbera	Azienda Agricola Cogno	
16454	France	Les Sept Crus Blanc de Blancs Brut	87	45	Champagne	Chardonnay	Agrapart & Fils	
16455	US	Reserve Alexandre Meritage	87	56	California	Bordeaux-style Red Blend	Geyser Peak	
16456	Italy	Conca D'Oro	87	20	Piedmont	Nebbiolo	Giribaldi	
16457	Italy	Passepied	87	30	Piedmont	Red Blend	La Fiammenga	
16458	US		87	18	California	Cabernet Sauvignon	Guenoc	
16459	Austria	Hochterrassen	87	18	Kremstal	Grüner Veltliner	Salomon-Undhof	
16460	Argentina		87	50	Mendoza Province	Cabernet Sauvignon-Merlot	Antucura	
16461	US	Le Vol des Anges Beeswax Vineyard	87	30	California	Roussanne	Bonny Doon	
16462	France	Numéro 1	87		Bordeaux	Bordeaux-style White Blend	Dourthe	
16463	US		87	19	California	Merlot	Geyser Peak	
16464	US		87	15	Washington	Lemberger	Townshend	
16465	US	Blend	87	24	Washington	Red Blend	Sineann	
16466	US	Claret	87	20	California	Bordeaux-style Red Blend	St. Francis	
16467	US		87	22	California	Merlot	St. Francis	
16468	Italy	La Romualda	87	30	Piedmont	Barbera	Principiano Ferdinando	
16469	Italy		87	15	Piedmont	Barbera	Pertinace	
16470	US	Estate	90	22	Oregon	Pinot Noir	Redhawk	
16471	South Africa	Private Collection	90	20	Stellenbosch	Shiraz	Saxenburg Estate	
16472	Austria	Steinterrassen	90	23	Kremstal	Riesling	Salomon-Undhof	
16473	US		90	42	California	Pinot Noir	Arista	
16474	US	Reserve	90	20	California	Chardonnay	Buehler	
16475	France	L'Authentique	90		Southwest France	Malbec	Château Pineraie	
16476	Italy	Madreselva	90	60	Central Italy	Red Blend	Casale del Giglio	
16477	France		90		Southwest France	Malbec	Château Gautoul	
16478	South Africa		90	45	Wellington	Pinotage	Bosman Family Vineyards	
16479	Italy	Sole di Sesta	90		Sicily & Sardinia	Syrah	Cottanera	
16480	US	Old Vine	90	32	California	Zinfandel	Del Carlo Winery	
16481	Italy	Saia	90	30	Sicily & Sardinia	Nero d'Avola	Feudo Maccari	
16482	US		90	35	California	Chardonnay	Fogdog	
16483	US	La Nuit Magique	90	65	Oregon	Pinot Noir	Erath	
16484	US		90	27	California	Chardonnay	Lincourt	
16485	Austria	Vom Schloss	90	18	Niederösterreich	Grüner Veltliner	Graf Hardegg	
16486	Austria	Vom Schloss	90	18	Niederösterreich	Riesling	Graf Hardegg	
16487	France	Aigle Royal	90	75	Languedoc-Roussillon	Chardonnay	Gérard Bertrand	
16488	US	Collection	90	26	California	Meritage	Q	
16489	Argentina	Limited Edition Reserva	90	28	Mendoza Province	Bonarda	Nieto Senetiner	
16490	US	Ruben's Block	90	98	California	Syrah	Stolpman	
16491	Italy	Cygnus	90	30	Sicily & Sardinia	Red Blend	Tasca d'Almerita	
16492	US	White Meritage	90	22	California	Semillon-Sauvignon Blanc	Murrieta's Well	
16493	Argentina	Carrascal	90	22	Mendoza Province	Bordeaux-style Red Blend	Weinert	
16494	US	Quasi Nulla	90	38	California	Pinot Noir	Wrath	
16495	Italy	Casal di Serra Vecchie Vigne	90	28	Central Italy	Verdicchio	Umani Ronchi	
16496	US		90	13	California	Edelzwicker	Navarro	
16497	Italy	Delia Nivolelli Riserva	90	38	Sicily & Sardinia	Syrah	Caruso & Minini	
16498	Germany	Hochgewächs Süss	90	18	Mosel	Riesling	Caspari-Kappel	
16499	US		90	95	California	Pinot Noir	Coup de Foudre	
16500	Italy	Dellago	88	22	Northeastern Italy	Pinot Bianco	Cantina Produttori Bolzano S. Maddalena/Gries	
16501	Spain	Hombros	88	37	Northern Spain	Mencía	Casar de Burbia	
16502	Austria	Gedersdorfer Moosburgerin	88		Niederösterreich	Grüner Veltliner	Felsner	
16503	Spain	Gran Reserva	88	22	Northern Spain	Tempranillo Blend	Finca del Marquesado	
16504	France	Cuvée Romanaise	88	22	Rhône Valley	Grenache-Syrah	Domaine Fond Croze	
16505	Italy	Cividìn	88	22	Northeastern Italy	White Blend	Emilio Bulfon	
16506	US	Bee Bee's Blend Estate	88	48	California	Red Blend	Envy	
16507	US	Late-Harvest Obscura	88	20	California	Zinfandel	Easton	
16508	US	Terra de Promissio	88	70	California	Pinot Noir	Lynmar	
16509	US		88	18	California	Zinfandel	Manifesto!	
16510	Italy		88	15	Northeastern Italy	Pinot Grigio	Marco Cecchini	
16511	US	Barrel Reserve	88	14	New York	Chardonnay	Knapp	
16512	Italy		88	36	Northeastern Italy	Lagrein	Franz Haas	
16513	Italy		88		Northeastern Italy	Grüner Veltliner	Kuenhof	
16514	France	Secret de Nos Vignes	88	37	Rhône Valley	Rhône-style Red Blend	Domaine de Châteaumar	
16515	Austria	Sandgrube	88	21	Weinviertel	Grüner Veltliner	Pratsch	
16516	Austria	Weinzierlberg	88	16	Kremstal	Grüner Veltliner	Stadt Krems	
16517	US	Terroir Select	88	30	California	Gewürztraminer	Stonehedge	
16518	Austria	Edition Adele Blanc de Blancs	88	25	Österreichischer Sekt	Austrian white blend	Szigeti	
16519	US		88	28	Washington	Sangiovese	Sinclair Estate Vineyards	
16520	Spain	Joven Tinto	88	10	Northern Spain	Tinta de Toro	Muruve	
16521	Austria	Animo	88		Kremstal	Grüner Veltliner	Thierry-Weber	
16522	South Africa	Chenin Blanc-Chardonnay-Viognier	88	17	Wellington	White Blend	Thokozani	
16523	US	Bacchus Vineyard	88	15	Washington	Riesling	Three Rivers	
16524	France		88	13	Rhône Valley	Rhône-style Red Blend	Vignobles La Coterie	
16525	US	Suendero	88	49	California	Bordeaux-style Red Blend	Vina Robles	
16526	Spain	Venta Mazzaron	88	15	Central Spain	Tempranillo	Viñas del Cenit	
16527	Spain	Viñas Viejas	88	14	Northern Spain	Garnacha	Zorzal	
16528	US		88	16	California	Meritage	Lyeth	
16529	US	Proprietor's Reserve	88	25	Washington	Cabernet Franc	Maryhill	
16530	Spain	Miserere	88	68	Catalonia	Red Blend	Costers del Siurana	
16531	US	Winemaker's Collection	88	13	Washington	Syrah	Covey Run	
16532	US	Quail Series	88	8	Washington	Chenin Blanc	Covey Run	
16533	US	Canoe Ridge Estate	88	24	Washington	Cabernet Sauvignon	Chateau Ste. Michelle	
16534	US		88	13	Washington	Chardonnay	Chateau Ste. Michelle	
16535	France	Vieilles Vignes	88	25	Burgundy	Chardonnay	Collovray et Terrier	
16536	Italy		88	20	Southern Italy	Primitivo	Conti Zecca	
16537	Italy	Papale	88	15	Southern Italy	Primitivo	Vigne & Vini	
16538	US	Lorenzo Vineyard	88	38	California	Chardonnay	Tandem	
16539	US		88	22	California	Syrah	Tassajara	
16540	Italy	Notarpanaro	88	17	Southern Italy	Negroamaro	Taurino	
16541	Argentina	Reserve	88	15	Mendoza Province	Malbec	Novus	
16542	US		88	25	California	Chardonnay	Orogeny	
16543	Argentina	Reserva	88	12	Mendoza Province	Cabernet Sauvignon	Santa Julia	
16544	US	Rapture	88	59	California	Cabernet Sauvignon	Michael David	
16545	Austria	Ried Sandgrube	88		Kremstal	Grüner Veltliner	Winzer Krems	
16546	Argentina	Q	88	20	Mendoza Province	Malbec	Zuccardi	
16547	US	Dutton Ranch Cherry Ridge Vineyard	88	34	California	Syrah	Dutton Estate	
16548	France		87	16	Southwest France	Malbec-Merlot	Croix du Mayne	
16549	US		87	10	Washington	Gewürztraminer	Chateau Ste. Michelle	
16550	US	Californa Cuvee	87	25	California	Syrah	JC Cellars	
16551	France	Domaine du Vaudon	87	23	Burgundy	Chardonnay	Joseph Drouhin	
16552	France	Domaine Barville	87	40	Rhône Valley	Rhône-style Red Blend	Brotte	
16553	US	Rosé	87	10	Washington	Sangiovese	Barnard Griffin	
16554	Italy	Villa Solais	87	11	Sicily & Sardinia	Vermentino	Cantina Santadi	
16555	Argentina	Prodigo Reserva	87	30	Mendoza Province	Malbec	Alessandro Speri	
16556	US		87	18	California	Chardonnay	Alderbrook	
16557	US	Las Brisas Vineyard	87	40	California	Pinot Noir	Lost Canyon	
16558	Argentina		87	9	Mendoza Province	Bonarda	Sur de los Andes	
16559	US	Peloton Red Wine	87	25	California	Red Blend	Tandem	
16560	US		84	18	California	Viognier	Wild Horse	
16561	Austria		84		Südsteiermark	Welschriesling	Terra Gomeliz	
16562	US		84	24	California	Pinot Noir	Opolo	
16563	US		84	12	California	Sauvignon Blanc	Roshambo	
16564	Austria	Classic Halbtrocken	84		Burgenland	Gewürztraminer	Adolf & Heinrich Fuchs	
16565	US	Francesca	84	75	California	Pinot Noir	Arcadian	
16566	Australia		84	8	Australia Other	Shiraz	Bulletin Place	
16567	Germany	Hochheimer Hölle Kabinett Trocken	84	19	Rheingau	Riesling	Domdechant Werner	
16568	US		84	21	California	Viognier	Consilience	
16569	US	Wildflower Valdeguie	84	7	California	Red Blend	J. Lohr	
